ticks,new,recycled,waste
554,52.40816327,0,47.59183673
555,52.40816327,0,47.59183673
556,52.57142857,0,47.42857143
557,52.57142857,0,47.42857143
558,52.65306122,0,47.34693878
559,52.73469388,0,47.26530612
560,52.81632653,0,47.18367347
561,52.89795918,0,47.10204082
562,52.97959184,0,47.02040816
563,53.2244898,0,46.7755102
564,53.30612245,0,46.69387755
565,53.30612245,0,46.69387755
566,53.30612245,0,46.69387755
567,53.30612245,0,46.69387755
568,53.46938776,0,46.53061224
569,53.63265306,0,46.36734694
570,53.79591837,0,46.20408163
571,53.87755102,0,46.12244898
572,53.95918367,0,46.04081633
573,54.12244898,0,45.87755102
574,54.20408163,0,45.79591837
575,54.28571429,0,45.71428571
576,54.44897959,0,45.55102041
577,54.6122449,0,45.3877551
578,54.6122449,0,45.3877551
579,54.85714286,0,45.14285714
580,55.02040816,0,44.97959184
581,55.18367347,0,44.81632653
582,55.26530612,0,44.73469388
583,55.34693878,0,44.65306122
584,55.34693878,0,44.65306122
585,55.59183673,0,44.40816327
586,55.67346939,0,44.32653061
587,56,0,44
588,56.16326531,0,43.83673469
589,56.24489796,0,43.75510204
590,56.32653061,0,43.67346939
591,56.32653061,0,43.67346939
592,56.57142857,0,43.42857143
593,56.65306122,0,43.34693878
594,56.73469388,0,43.26530612
595,56.97959184,0,43.02040816
596,57.2244898,0,42.7755102
597,57.30612245,0,42.69387755
598,57.3877551,0,42.6122449
599,57.71428571,0,42.28571429
600,57.79591837,0,42.20408163
601,57.79591837,0,42.20408163
602,57.87755102,0,42.12244898
603,57.95918367,0,42.04081633
604,58.04081633,0,41.95918367
605,58.04081633,0,41.95918367
606,58.04081633,0,41.95918367
607,58.28571429,0,41.71428571
608,58.28571429,0,41.71428571
609,58.36734694,0,41.63265306
610,58.36734694,0,41.63265306
611,58.44897959,0,41.55102041
612,58.44897959,0,41.55102041
613,58.44897959,0,41.55102041
614,58.53061224,0,41.46938776
615,58.69387755,0,41.30612245
616,58.69387755,0,41.30612245
617,58.7755102,0,41.2244898
618,59.10204082,0,40.89795918
619,59.18367347,0,40.81632653
620,59.26530612,0,40.73469388
621,59.42857143,0,40.57142857
622,59.51020408,0,40.48979592
623,59.59183673,0,40.40816327
624,59.75510204,0,40.24489796
625,59.83673469,0,40.16326531
626,60,0,40
627,60.24489796,0,39.75510204
628,60.40816327,0,39.59183673
629,60.48979592,0,39.51020408
630,60.57142857,0,39.42857143
631,60.73469388,0,39.26530612
632,60.81632653,0,39.18367347
633,60.97959184,0,39.02040816
634,61.06122449,0,38.93877551
635,61.06122449,0,38.93877551
636,61.14285714,0,38.85714286
637,61.14285714,0,38.85714286
638,61.14285714,0,38.85714286
639,61.30612245,0,38.69387755
640,61.30612245,0,38.69387755
641,61.30612245,0,38.69387755
642,61.3877551,0,38.6122449
643,61.3877551,0,38.6122449
644,61.3877551,0,38.6122449
645,61.55102041,0,38.44897959
646,61.55102041,0,38.44897959
647,61.55102041,0,38.44897959
648,61.55102041,0,38.44897959
649,61.71428571,0,38.28571429
650,61.71428571,0,38.28571429
651,61.71428571,0,38.28571429
652,61.71428571,0,38.28571429
653,61.79591837,0,38.20408163
654,61.87755102,0,38.12244898
655,62.04081633,0,37.95918367
656,62.12244898,0,37.87755102
657,62.20408163,0,37.79591837
658,62.20408163,0,37.79591837
659,62.20408163,0,37.79591837
660,62.28571429,0,37.71428571
661,62.36734694,0,37.63265306
662,62.53061224,0,37.46938776
663,62.53061224,0,37.46938776
664,62.69387755,0,37.30612245
665,62.69387755,0,37.30612245
666,62.7755102,0,37.2244898
667,62.7755102,0,37.2244898
668,62.85714286,0,37.14285714
669,62.85714286,0,37.14285714
670,62.93877551,0,37.06122449
671,63.02040816,0,36.97959184
672,63.10204082,0,36.89795918
673,63.10204082,0,36.89795918
674,63.10204082,0,36.89795918
675,63.10204082,0,36.89795918
676,63.10204082,0,36.89795918
677,63.18367347,0,36.81632653
678,63.42857143,0,36.57142857
679,63.51020408,0,36.48979592
680,63.51020408,0,36.48979592
681,63.51020408,0,36.48979592
682,63.51020408,0,36.48979592
683,63.51020408,0,36.48979592
684,63.59183673,0,36.40816327
685,63.67346939,0,36.32653061
686,63.67346939,0,36.32653061
687,63.75510204,0,36.24489796
688,63.75510204,0,36.24489796
689,63.91836735,0,36.08163265
690,63.91836735,0,36.08163265
691,63.91836735,0,36.08163265
692,64,0,36
693,64.08163265,0,35.91836735
694,64.08163265,0,35.91836735
695,64.08163265,0,35.91836735
696,64.16326531,0,35.83673469
697,64.24489796,0,35.75510204
698,64.32653061,0,35.67346939
699,64.40816327,0,35.59183673
700,64.48979592,0,35.51020408
701,64.57142857,0,35.42857143
702,64.57142857,0,35.42857143
703,64.57142857,0,35.42857143
704,64.73469388,0,35.26530612
705,64.73469388,0,35.26530612
706,64.81632653,0,35.18367347
707,64.89795918,0,35.10204082
708,64.97959184,0,35.02040816
709,65.2244898,0,34.7755102
710,65.30612245,0,34.69387755
711,65.30612245,0,34.69387755
712,65.3877551,0,34.6122449
713,65.55102041,0,34.44897959
714,65.55102041,0,34.44897959
715,65.63265306,0,34.36734694
716,65.63265306,0,34.36734694
717,65.79591837,0,34.20408163
718,65.87755102,0,34.12244898
719,66.12244898,0,33.87755102
720,66.20408163,0,33.79591837
721,66.20408163,0,33.79591837
722,66.36734694,0,33.63265306
723,66.6122449,0,33.3877551
724,66.69387755,0,33.30612245
725,66.7755102,0,33.2244898
726,66.7755102,0,33.2244898
727,66.7755102,0,33.2244898
728,66.85714286,0,33.14285714
729,66.93877551,0,33.06122449
730,66.93877551,0,33.06122449
731,66.93877551,0,33.06122449
732,67.10204082,0,32.89795918
733,67.26530612,0,32.73469388
734,67.26530612,0,32.73469388
735,67.26530612,0,32.73469388
736,67.42857143,0,32.57142857
737,67.51020408,0,32.48979592
738,67.51020408,0,32.48979592
739,67.59183673,0,32.40816327
740,67.91836735,0,32.08163265
741,68,0,32
742,68,0,32
743,68,0,32
744,68.16326531,0,31.83673469
745,68.16326531,0,31.83673469
746,68.16326531,0,31.83673469
747,68.32653061,0,31.67346939
748,68.40816327,0,31.59183673
749,68.40816327,0,31.59183673
750,68.40816327,0,31.59183673
751,68.40816327,0,31.59183673
752,68.48979592,0,31.51020408
753,68.81632653,0,31.18367347
754,68.89795918,0,31.10204082
755,68.97959184,0,31.02040816
756,69.14285714,0,30.85714286
757,69.3877551,0,30.6122449
758,69.46938776,0,30.53061224
759,69.46938776,0,30.53061224
760,69.55102041,0,30.44897959
761,69.63265306,0,30.36734694
762,69.63265306,0,30.36734694
763,69.63265306,0,30.36734694
764,69.71428571,0,30.28571429
765,69.71428571,0,30.28571429
766,69.71428571,0,30.28571429
767,69.71428571,0,30.28571429
768,69.71428571,0,30.28571429
769,69.71428571,0,30.28571429
770,69.87755102,0,30.12244898
771,70.12244898,0,29.87755102
772,70.12244898,0,29.87755102
773,70.28571429,0,29.71428571
774,70.6122449,0,29.3877551
775,70.69387755,0,29.30612245
776,70.69387755,0,29.30612245
777,70.7755102,0,29.2244898
778,70.7755102,0,29.2244898
779,70.85714286,0,29.14285714
780,70.93877551,0,29.06122449
781,70.93877551,0,29.06122449
782,71.10204082,0,28.89795918
783,71.18367347,0,28.81632653
784,71.26530612,0,28.73469388
785,71.34693878,0,28.65306122
786,71.42857143,0,28.57142857
787,71.59183673,0,28.40816327
788,71.59183673,0,28.40816327
789,71.67346939,0,28.32653061
790,71.83673469,0,28.16326531
791,71.91836735,0,28.08163265
792,72,0,28
793,72,0,28
794,72.08163265,0,27.91836735
795,72.16326531,0,27.83673469
796,72.24489796,0,27.75510204
797,72.24489796,0,27.75510204
798,72.24489796,0,27.75510204
799,72.40816327,0,27.59183673
800,72.40816327,0,27.59183673
801,72.40816327,0,27.59183673
802,72.57142857,0,27.42857143
803,72.57142857,0,27.42857143
804,72.89795918,0,27.10204082
805,72.97959184,0,27.02040816
806,73.06122449,0,26.93877551
807,73.06122449,0,26.93877551
808,73.06122449,0,26.93877551
809,73.14285714,0,26.85714286
810,73.30612245,0,26.69387755
811,73.46938776,0,26.53061224
812,73.55102041,0,26.44897959
813,73.63265306,0,26.36734694
814,73.79591837,0,26.20408163
815,73.79591837,0,26.20408163
816,73.79591837,0,26.20408163
817,73.87755102,0,26.12244898
818,73.95918367,0,26.04081633
819,74.04081633,0,25.95918367
820,74.20408163,0,25.79591837
821,74.20408163,0,25.79591837
822,74.20408163,0,25.79591837
823,74.20408163,0,25.79591837
824,74.20408163,0,25.79591837
825,74.20408163,0,25.79591837
826,74.20408163,0,25.79591837
827,74.28571429,0,25.71428571
